instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,windspeed_boxcox,weathersit_adjusted,weathersit_logit,hour,day_of_week,month_name,season_name,weather_category,temp_category,humidity_category,windspeed_category,user_type,rentals_per_user,day_type,is_weekend,comfort_index,peak_hour
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.16045600000000002,331,654,985,-1.281260259757736,0.99999,11.51291546492478,0,Saturday,January,Spring,Mist,Mild,High,Breezy,Registered,1.0,Weekend,1,0.1259593333333333,0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.24854900000000002,131,670,801,-1.0569448412608207,0.99999,11.51291546492478,0,Sunday,January,Spring,Mist,Mild,High,Windy,Registered,1.0,Weekend,0,0.139614,0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248319,120,1229,1349,-1.057463761143535,0.99999,11.51291546492478,0,Monday,January,Spring,Clear,Cold,Medium,Windy,Registered,1.0,Working Day,0,0.17025733333333334,0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160306,108,1454,1562,-1.2816972914072953,0.99999,11.51291546492478,0,Tuesday,January,Spring,Clear,Cold,Medium,Breezy,Registered,1.0,Working Day,0,0.14975299999999997,0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.18691000000000002,82,1518,1600,-1.2076254075243076,0.99999,11.51291546492478,0,Wednesday,January,Spring,Clear,Cold,Medium,Breezy,Registered,1.0,Working Day,0,0.20103000000000001,0
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895752,88,1518,1606,-1.5232091838554298,0.99999,11.51291546492478,0,Thursday,January,Spring,Clear,Cold,Medium,Calm,Registered,1.0,Working Day,0,0.19883726666666668,0
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168736,148,1362,1510,-1.2574966985143021,0.99999,11.51291546492478,0,Friday,January,Spring,Mist,Cold,Medium,Breezy,Registered,1.0,Working Day,1,0.17636333333333334,0
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266814,68,891,959,-1.0165986671498584,0.99999,11.51291546492478,0,Saturday,January,Spring,Mist,Cold,Medium,Windy,Registered,1.0,Weekend,1,0.12078433333333334,0
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36196,54,768,822,-0.8288550504330338,0.99999,11.51291546492478,0,Sunday,January,Spring,Clear,Cold,Medium,Windy,Registered,1.0,Weekend,0,0.11406866666666664,0
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223277,41,1280,1321,-1.1157380531521084,0.99999,11.51291546492478,0,Monday,January,Spring,Clear,Cold,Medium,Windy,Registered,1.0,Working Day,0,0.148213,0
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122142,43,1220,1263,-1.4018092594472995,0.99999,11.51291546492478,0,Tuesday,January,Spring,Mist,Cold,High,Breezy,Registered,1.0,Working Day,0,0.12019500000000001,0
